,open,high,low,close,adjusted_close,volume,dividend_amount
2020-05-29,323.5000,324.2400,313.0900,317.9400,77.3654,131465363,0.0000
2020-05-22,313.1700,320.8900,310.3200,318.8900,77.5965,133274690,0.0000
2020-05-15,308.1000,319.6900,300.2100,307.7100,74.8761,208536826,0.0000
2020-05-08,289.1700,310.3500,286.3200,310.1300,75.4649,168228968,0.8200
2020-05-01,281.8000,299.0000,278.2000,289.0700,70.1548,197513427,0.0000
2020-04-24,277.9500,283.0100,265.4300,282.9700,68.6744,169846750,0.0000
2020-04-17,268.3100,288.2500,265.8300,282.8000,68.6332,207386812,0.0000
2020-04-09,250.9000,271.7000,249.3800,267.9900,65.0389,183929846,0.0000
2020-04-03,250.7400,262.4900,236.9000,241.4100,58.5882,209252759,0.0000
2020-03-27,228.0800,258.6800,212.6100,247.7400,60.1244,346165813,0.0000
2020-03-20,241.9500,259.0800,228.0000,229.2400,55.6346,405065837,0.0000
2020-03-13,263.7500,286.4400,248.0000,277.9700,67.4610,404405247,0.0000
2020-03-06,282.2800,304.0000,277.7200,289.0300,70.1451,323450224,0.0000
2020-02-28,297.2600,304.1800,256.3700,273.3600,66.3422,349768234,0.0000
2020-02-21,315.3600,324.6500,310.5000,313.0500,75.9746,119254440,0.0000
2020-02-14,314.1800,327.2200,313.8500,324.9500,78.8626,123065907,0.0000
2020-02-07,304.3000,325.2200,302.2200,320.0300,77.6686,163134650,0.7700
2020-01-31,310.0600,327.8500,304.8800,309.5100,74.9352,216776323,0.0000
2020-01-24,317.1900,323.3300,315.6500,318.3100,77.0657,115445527,0.0000
2020-01-17,311.6400,318.7400,309.5500,318.7300,77.1674,162824452,0.0000
2020-01-10,293.7900,312.6700,292.7500,310.3300,75.1337,168452059,0.0000
2020-01-03,289.4600,300.6000,285.2200,297.4300,72.0105,131852981,0.0000
2019-12-27,280.5300,293.9700,280.3700,289.8000,70.1632,96724537,0.0000
2019-12-20,277.0000,282.6500,276.9800,279.4400,67.6549,183341280,0.0000
2019-12-13,270.0000,275.3000,264.9100,275.1500,66.6163,142408267,0.0000
2019-12-06,267.2700,271.0000,256.2900,270.7100,65.5413,115090042,0.0000
2019-11-29,262.7100,268.0000,262.5000,267.2500,64.7036,75404884,0.0000
2019-11-22,265.8000,268.0000,260.4000,261.7800,63.3793,114060454,0.0000
2019-11-15,258.3000,265.7800,258.2800,265.7600,64.3429,115661500,0.0000
2019-11-08,257.3300,260.4400,255.3700,260.1400,62.9822,106014081,0.7700
2019-11-01,247.4200,255.9300,237.2600,255.8200,61.7530,163067611,0.0000
2019-10-25,237.5200,246.7300,237.3200,246.5800,59.5226,100713664,0.0000
2019-10-18,234.9000,238.1300,233.2000,236.4100,57.0676,108261581,0.0000
2019-10-11,226.2700,237.6400,224.3300,236.2100,57.0193,150154587,0.0000
2019-10-04,220.9000,228.2200,215.1300,227.0100,54.7985,163381242,0.0000
2019-09-27,218.9500,222.4900,217.1400,218.8200,52.8215,117784618,0.0000
2019-09-20,217.7300,223.7600,217.4700,217.7300,52.5584,145352672,0.0000
2019-09-13,214.8400,226.4200,211.0700,218.7500,52.8046,175366943,0.0000
2019-09-06,206.4300,214.4200,204.2200,213.2600,51.4794,82585672,0.0000
2019-08-30,205.8600,210.4500,203.3200,208.7400,50.3883,110091319,0.0000
2019-08-23,210.6200,214.4400,201.0000,202.6400,48.9158,142066853,0.0000
2019-08-16,199.6200,212.1400,199.1500,206.5000,49.8476,163266105,0.0000
2019-08-09,197.9900,203.5300,192.5800,200.9900,48.5175,173211425,0.7700
2019-08-02,208.4600,221.3700,201.6300,204.0200,49.0609,219770512,0.0000
2019-07-26,203.6500,209.7300,203.6100,207.7400,49.9555,87153118,0.0000
2019-07-19,204.0900,206.5000,202.3600,202.5900,48.7171,87433154,0.0000
2019-07-12,200.8100,204.3900,198.4100,203.3000,48.8878,101600835,0.0000
2019-07-05,203.1700,205.0800,200.6500,204.2300,49.1114,72879519,0.0000
2019-06-28,198.5400,201.5700,195.2900,197.9200,47.5941,117368626,0.0000
2019-06-21,192.9000,200.8500,192.1700,198.7800,47.8009,131658960,0.0000
2019-06-14,191.8100,196.7900,190.3000,192.7400,46.3484,111843021,0.0000
2019-06-07,175.6000,191.9200,170.2700,190.1500,45.7256,154348161,0.0000
2019-05-31,178.9200,180.5900,174.9900,175.0700,42.0993,104691321,0.0000
2019-05-24,183.5200,188.0000,177.8100,178.9700,43.0371,156970116,0.0000
2019-05-17,187.7100,192.4700,182.8500,189.0000,45.4491,186415472,0.0000
2019-05-10,204.2900,208.8400,192.7700,197.1800,47.4161,173663634,0.7700
2019-05-03,204.4000,215.3100,199.1100,211.7500,50.7217,186455669,0.0000
2019-04-26,202.8300,208.4800,202.1200,204.3000,48.9372,97495453,0.0000
2019-04-18,198.5800,204.1500,198.0100,203.8600,48.8318,96335577,0.0000
2019-04-12,196.4200,202.8500,196.2100,198.8700,47.6365,132006698,0.0000
2019-04-05,191.6400,197.1000,188.3800,197.0000,47.1886,111540445,0.0000
2019-03-29,191.5100,192.8800,184.5800,189.9500,45.4998,167838582,0.0000
2019-03-22,185.8000,197.6900,184.7300,191.0500,45.7633,182343335,0.0000
2019-03-15,175.4900,187.3300,175.3500,186.1200,44.5824,158133562,0.0000
2019-03-08,175.6900,177.7500,169.5000,172.9100,41.4181,116779738,0.0000
2019-03-01,174.1600,175.8700,172.7300,174.9700,41.9116,120880541,0.0000
2019-02-22,169.7100,173.3200,169.4900,172.9700,41.4325,81250012,0.0000
2019-02-15,171.0500,172.4800,169.2500,170.4200,40.8217,112229742,0.0000
2019-02-08,167.4100,175.5700,167.2800,170.4100,40.8193,151398457,0.7300
2019-02-01,155.7900,169.0000,153.6600,166.5200,39.7174,202296864,0.0000
2019-01-25,156.4100,158.1300,151.7000,157.7600,37.6280,112513982,0.0000
2019-01-18,150.8500,157.8800,149.2200,156.8200,37.4038,155291399,0.0000
2019-01-11,148.7000,154.5300,145.9000,152.2900,36.3233,203706070,0.0000
2019-01-04,158.5300,159.3600,142.0000,148.2600,35.3621,221962468,0.0000
2018-12-28,148.1500,158.5200,146.5900,156.2300,37.2631,191160265,0.0000
2018-12-21,165.4500,168.3500,149.6300,150.7300,35.9512,287694081,0.0000
2018-12-14,165.0000,172.5700,163.3300,165.4800,39.4693,217536870,0.0000
2018-12-07,184.4600,184.9400,168.3000,168.4900,40.1872,167522325,0.0000
2018-11-30,174.2400,182.8000,170.2600,178.5800,42.5939,213749977,0.0000
2018-11-23,190.0000,190.7000,172.1000,172.2900,41.0936,164494301,0.0000
2018-11-16,199.0000,199.8500,185.9300,193.5300,46.1596,242226465,0.0000
2018-11-09,204.3000,210.1200,198.1700,204.4700,48.7690,191199370,0.7300
2018-11-02,219.1900,222.3600,205.4300,207.4800,49.3142,270606277,0.0000
2018-10-26,219.7900,224.2300,212.6700,216.3000,51.4106,185599234,0.0000
2018-10-19,221.1600,222.9900,213.0000,219.3100,52.1260,148520408,0.0000
2018-10-12,222.2100,227.2700,212.3200,222.1100,52.7915,192007749,0.0000
2018-10-05,227.9500,233.4700,220.5800,224.2900,53.3097,142666234,0.0000
2018-09-28,216.8200,226.4400,216.6300,225.7400,53.6543,129343034,0.0000
2018-09-21,222.1500,222.9500,215.3000,217.6600,51.7338,218746220,0.0000
2018-09-14,220.9500,228.3500,216.4700,223.8400,53.2027,198249908,0.0000
2018-09-07,228.4100,229.6700,220.7100,221.3000,52.5990,132632878,0.0000
2018-08-31,217.1500,228.8700,216.3300,227.6300,54.1035,162690645,0.0000
2018-08-24,218.1000,219.1800,213.8400,216.1600,51.3773,112825161,0.0000
2018-08-17,207.7000,217.9500,207.7000,217.5800,51.7148,139373818,0.0000
2018-08-10,208.0000,209.7800,204.5200,207.5300,49.3261,121642089,0.7300
2018-08-03,191.9000,208.7400,189.0700,207.9900,49.2622,224189697,0.0000
2018-07-27,190.6800,195.9600,189.5600,190.9800,45.2334,94613682,0.0000
2018-07-20,191.5200,192.6500,189.2000,191.4400,45.3423,87963808,0.0000
2018-07-13,189.5000,191.8400,187.6100,191.3300,45.3163,85088176,0.0000
2018-07-06,183.8200,188.4300,183.4200,187.9700,44.5205,65775642,0.0000
2018-06-29,183.4000,187.2800,180.7300,185.1100,43.8431,121620526,0.0000
2018-06-22,187.8800,189.2200,183.4500,184.9200,43.7981,125604366,0.0000
2018-06-15,191.3500,192.8800,188.2600,188.8400,44.7265,140187228,0.0000
2018-06-08,191.6400,194.2000,189.7700,191.7000,45.4039,116769735,0.0000
2018-06-01,187.6000,190.2600,186.1400,190.2400,45.0581,92129925,0.0000
2018-05-25,188.0000,189.6500,185.7600,188.5800,44.6649,94394844,0.0000
2018-05-18,189.0100,189.5300,185.1000,186.3100,44.1273,99248752,0.0000
2018-05-11,185.1800,190.3700,183.6700,188.5900,44.6673,148266951,0.7300
2018-05-04,162.1300,184.2500,161.8400,183.8300,43.3720,252805668,0.0000
2018-04-27,166.8300,166.9200,160.6300,162.3200,38.2971,162208431,0.0000
2018-04-20,175.0300,178.9400,165.4300,165.7200,39.0992,169238340,0.0000
2018-04-13,169.8800,175.8400,169.8500,174.7300,41.2250,128077139,0.0000
2018-04-06,166.6400,174.2300,164.4700,168.3800,39.7268,164408813,0.0000
2018-03-29,168.0700,175.1500,165.1900,167.7800,39.5853,155302506,0.0000
2018-03-23,177.3200,177.4700,164.9400,164.9400,38.9152,168666122,0.0000
2018-03-16,180.2900,183.5000,177.6200,178.0200,42.0012,151720299,0.0000
2018-03-09,175.2100,180.0000,174.2700,179.9800,42.4637,138442235,0.0000
2018-03-02,176.3500,180.6200,172.4500,176.2100,41.5742,196432091,0.0000
2018-02-23,172.0500,175.6500,171.0100,175.5000,41.4067,133197874,0.0000
2018-02-16,158.5000,174.8200,157.5100,172.4300,40.6824,222582467,0.0000
2018-02-09,159.1000,163.8800,150.2400,156.4100,36.9027,299885932,0.6300
2018-02-02,170.1600,170.1600,160.1000,160.5000,37.7157,248091289,0.0000
2018-01-26,177.3000,179.4400,170.0600,171.5100,40.3030,185072080,0.0000
2018-01-19,177.9000,180.1000,175.0700,178.4600,41.9361,122974060,0.0000
2018-01-12,174.3500,177.3600,173.0000,177.0900,41.6142,107548622,0.0000
2018-01-05,170.1600,175.3700,169.2600,175.0000,41.1231,99095223,0.0000
2017-12-29,170.8000,171.8500,169.2200,169.2300,39.7672,96281679,0.0000
2017-12-22,174.8800,177.2000,173.2500,175.0100,41.1254,115320238,0.0000
2017-12-15,169.2000,174.1700,168.7900,173.9700,40.8810,132453689,0.0000
2017-12-08,172.4800,172.6200,166.4600,169.3700,39.8001,134914322,0.0000
2017-12-01,175.0500,175.0800,167.1600,171.0500,40.1949,166555527,0.0000
2017-11-24,170.2900,175.5000,169.5600,174.9700,41.1160,79873651,0.0000
